stop0 stop46 stop45 stop28 stop67 stop92 stop62 stop69 stop82 stop51 stop0 stop80 stop48 stop33 stop2 stop85 stop84 stop87 stop75 stop54 stop79 stop24 stop3 stop55 stop20 stop2 stop96 stop42 stop74 stop40 stop21 stop22 stop65 stop23 stop9 stop17 stop0 stop7 stop35 stop36 stop5 stop53 stop26 stop58 stop19 stop68 stop14 stop30 stop13 stop66 stop8 stop3 stop97 stop3 stop2 stop1 stop0
48
stop0 stop86
stop22 stop22 stop56
stop66 stop66
stop58 stop58
stop40 stop40
stop69 stop69
stop9 stop9
stop62 stop62
stop24 stop24
stop79 stop79
stop84 stop84
stop28 stop28
stop65 stop65
stop19 stop19
stop3 stop3
stop46 stop46
stop30 stop30
stop42 stop42
stop13 stop13
stop33 stop33
stop96 stop96
stop55 stop55
stop92 stop92
stop21 stop21
stop45 stop45
stop67 stop67
stop74 stop74
stop35 stop35
stop85 stop85
stop51 stop51
stop14 stop14
stop48 stop48
stop97 stop97
stop80 stop80
stop54 stop54
stop20 stop20
stop82 stop82
stop8 stop8
stop36 stop36
stop2 stop2
stop17 stop17
stop26 stop26
stop87 stop87
stop53 stop53
stop75 stop75
stop23 stop23
stop68 stop68
stop7 stop7
