Cleresmith Whitby Bothensborough Sodmersmith Chedlake Ketterwold Milditch Wydon Edgney Whitseyborough Todderworth Warrerbage Durblechester Dribbasborne Hanworth Sunderbrough Chillerlow Eggerrensling Hannerworth Waltcombe Dribbinggrove Cheddlesport Pendton Elfield Warblesdown Wolvingrethorne Cammingbury Blanden Egwood Skelcastle Cannerrebeck Ciside Hartrenslow Enderavon Pemhampton Reddenwell Suddlebrough Pendingstoke Stainsdenwold Ashworth Cannenringwell Elmsbrook Chilcompcester Hanscombe Watchmanshead Chippenden Camsdenden Rockhead Bootworth Dribbingenborne Dribside Wendlemerford Hamditch Wetley Hamditch Wendlemerford Ribney Dribside Dribbingenborne Bootworth Rockhead Camsdenden Chippenden Shrivden Watchmanshead Hanscombe Chilcompcester Elmsbrook Cannenringwell Ashworth Reddentree Stainsdenwold Pendingstoke Suddlebrough Reddenwell Pemhampton Enderavon Cammenenwich Hartrenslow Ciside Cannerrebeck Skelcastle Egwood Blanden Soddenreey Cammingbury Wolvingrethorne Warblesdown Elfield Pendton Cheddlesport Pendrenslake Dribbinggrove Waltcombe Hannerworth Eggerrensling Chillerlow Sunderbrough Ellingey Hanworth Dribbasborne Durblechester Warrerbage Todderworth Whitseyborough Basfield Edgney Wydon Milditch Ketterwold Chedlake Sodmersmith Chippingwood Bothensborough Whitby Cleresmith
27
Cleresmith Warringwood
Wetley Wetley
Soddenreey Soddenreey
Reddentree Reddentree
Ellingey Ellingey
Shrivden Shrivden
Basfield Basfield
Pendrenslake Pendrenslake
Cammenenwich Cammenenwich
Ketterwold Ketterwold
Bootworth Bootworth
Elfield Elfield
Skelcastle Skelcastle
Chilcompcester Chilcompcester
Milditch Milditch
Warrerbage Warrerbage
Durblechester Durblechester
Eggerrensling Eggerrensling
Hannerworth Hannerworth
Warblesdown Warblesdown
Cannerrebeck Cannerrebeck
Reddenwell Reddenwell
Suddlebrough Suddlebrough
Elmsbrook Elmsbrook
Rockhead Rockhead
Chippingwood Chippingwood
Ribney Ribney
