TA0 TA10 TA59 TA58 TA32 TA31 TA42 TA41 TA40 TA39 TA38 TA47 TA48 TA84 TA85 TA86 TA56 TA27 TA28 TA27 TA26 TA21 TA26 TA25 TA24 TA23 TA22 TA71 TA35 TA9 TA62 TA63 TA64 TA63 TA62 TA73 TA7 TA18 TA90 TA89 TA90 TA18 TA19 TA20 TA46 TA47 TA38 TA12 TA33 TA75 TA76 TA75 TA74 TA82 TA81 TA80 TA79 TA27 TA56 TA86 TA50 TA49 TA48 TA93 TA94 TA93 TA92 TA8 TA7 TA6 TA5 TA54 TA10 TA0 TA1 TA0 TA99 TA0
49
TA0 TA36
TA90 TA90
TA28 TA28
TA64 TA64
TA76 TA76
TA47 TA47
TA81 TA81
TA58 TA58
TA85 TA85
TA94 TA94
TA8 TA8
TA21 TA21
TA19 TA19
TA39 TA39
TA42 TA42
TA25 TA25
TA56 TA56
TA33 TA33
TA54 TA54
TA62 TA62 TA61
TA71 TA71
TA23 TA23
TA6 TA6
TA9 TA9
TA38 TA38
TA27 TA27
TA80 TA80
TA84 TA84
TA86 TA86
TA59 TA59
TA48 TA48
TA32 TA32
TA18 TA18
TA26 TA26
TA50 TA50
TA49 TA49
TA46 TA46
TA7 TA7
TA92 TA92
TA89 TA89
TA24 TA24
TA12 TA12
TA63 TA63
TA1 TA1
TA35 TA35
TA73 TA73
TA40 TA40
TA99 TA99
TA10 TA10
